model,tag,config_id,fold,n_train,n_test,hidden_size,learning_rate,dropout,batch_size,best_epoch,mae,rmse,row_type,is_best,mae_mean,mae_std,rmse_mean,rmse_std
mlp_regressor,processed_2026-03-13_cv5,mlp_h128_lr1e-03_do0.2,0.0,128756.0,32189.0,128,0.001,0.2,512,26.0,0.5570585701561184,0.7965539945338028,fold,False,,,,
mlp_regressor,processed_2026-03-13_cv5,mlp_h128_lr1e-03_do0.2,1.0,128756.0,32189.0,128,0.001,0.2,512,26.0,0.5530658898815525,0.7927288240446633,fold,False,,,,
mlp_regressor,processed_2026-03-13_cv5,mlp_h128_lr1e-03_do0.2,2.0,128756.0,32189.0,128,0.001,0.2,512,36.0,0.548853008593697,0.7927058219563055,fold,False,,,,
mlp_regressor,processed_2026-03-13_cv5,mlp_h128_lr1e-03_do0.2,3.0,128756.0,32189.0,128,0.001,0.2,512,24.0,0.5524203733208257,0.7919004337434236,fold,False,,,,
mlp_regressor,processed_2026-03-13_cv5,mlp_h128_lr1e-03_do0.2,4.0,128756.0,32189.0,128,0.001,0.2,512,24.0,0.5546813354245048,0.7958097998566792,fold,False,,,,
mlp_regressor,processed_2026-03-13_cv5,mlp_h128_lr3e-04_do0.2,0.0,128756.0,32189.0,128,0.0003,0.2,512,68.0,0.5488396824925829,0.7953787411350828,fold,False,,,,
mlp_regressor,processed_2026-03-13_cv5,mlp_h128_lr3e-04_do0.2,1.0,128756.0,32189.0,128,0.0003,0.2,512,41.0,0.5520068511287004,0.7918053207447172,fold,False,,,,
mlp_regressor,processed_2026-03-13_cv5,mlp_h128_lr3e-04_do0.2,2.0,128756.0,32189.0,128,0.0003,0.2,512,49.0,0.5437899367333366,0.783655312227992,fold,False,,,,
mlp_regressor,processed_2026-03-13_cv5,mlp_h128_lr3e-04_do0.2,3.0,128756.0,32189.0,128,0.0003,0.2,512,34.0,0.5510685235620233,0.7876996115982932,fold,False,,,,
mlp_regressor,processed_2026-03-13_cv5,mlp_h128_lr3e-04_do0.2,4.0,128756.0,32189.0,128,0.0003,0.2,512,46.0,0.5471058127523322,0.7899609025344779,fold,False,,,,
mlp_regressor,processed_2026-03-13_cv5,mlp_h256_lr1e-03_do0.2,0.0,128756.0,32189.0,256,0.001,0.2,512,29.0,0.5446651958702404,0.7995695334018468,fold,False,,,,
mlp_regressor,processed_2026-03-13_cv5,mlp_h256_lr1e-03_do0.2,1.0,128756.0,32189.0,256,0.001,0.2,512,21.0,0.5497553616173754,0.7958708365050493,fold,False,,,,
mlp_regressor,processed_2026-03-13_cv5,mlp_h256_lr1e-03_do0.2,2.0,128756.0,32189.0,256,0.001,0.2,512,18.0,0.5471327565345973,0.789235243459506,fold,False,,,,
mlp_regressor,processed_2026-03-13_cv5,mlp_h256_lr1e-03_do0.2,3.0,128756.0,32189.0,256,0.001,0.2,512,24.0,0.5439592534321914,0.7886856705413023,fold,False,,,,
mlp_regressor,processed_2026-03-13_cv5,mlp_h256_lr1e-03_do0.2,4.0,128756.0,32189.0,256,0.001,0.2,512,18.0,0.5494868647692084,0.7974012545650365,fold,False,,,,
mlp_regressor,processed_2026-03-13_cv5,mlp_h256_lr3e-04_do0.2,0.0,128756.0,32189.0,256,0.0003,0.2,512,25.0,0.5464488745977978,0.7901508720084064,fold,True,,,,
mlp_regressor,processed_2026-03-13_cv5,mlp_h256_lr3e-04_do0.2,1.0,128756.0,32189.0,256,0.0003,0.2,512,25.0,0.5491980937741743,0.7926140647001455,fold,True,,,,
mlp_regressor,processed_2026-03-13_cv5,mlp_h256_lr3e-04_do0.2,2.0,128756.0,32189.0,256,0.0003,0.2,512,32.0,0.5405084713757893,0.7856306151400605,fold,True,,,,
mlp_regressor,processed_2026-03-13_cv5,mlp_h256_lr3e-04_do0.2,3.0,128756.0,32189.0,256,0.0003,0.2,512,18.0,0.5507272851434037,0.7855577490092331,fold,True,,,,
mlp_regressor,processed_2026-03-13_cv5,mlp_h256_lr3e-04_do0.2,4.0,128756.0,32189.0,256,0.0003,0.2,512,28.0,0.544641444083107,0.7901455341910171,fold,True,,,,
mlp_regressor,processed_2026-03-13_cv5,mlp_h256_lr3e-04_do0.2,,,,256,0.0003,0.2,512,,,,summary,True,0.5463048337948544,0.004009814821704051,0.7888197670097725,0.0031119786785642404
mlp_regressor,processed_2026-03-13_cv5,mlp_h128_lr3e-04_do0.2,,,,128,0.0003,0.2,512,,,,summary,False,0.5485621613337951,0.003283284796653302,0.7896999776481126,0.004395689663356723
mlp_regressor,processed_2026-03-13_cv5,mlp_h128_lr1e-03_do0.2,,,,128,0.001,0.2,512,,,,summary,False,0.5532158354753397,0.003025053803133387,0.7939397748269749,0.0020904001905474555
mlp_regressor,processed_2026-03-13_cv5,mlp_h256_lr1e-03_do0.2,,,,256,0.001,0.2,512,,,,summary,False,0.5469998864447225,0.0026688756185808695,0.7941525076945481,0.004922320937839566
