model,tag,config_id,fold,n_train,n_test,hidden_size,n_blocks,learning_rate,dropout,batch_size,best_epoch,mae,rmse,row_type,is_best,mae_mean,mae_std,rmse_mean,rmse_std
resnet_regressor,processed_2026-03-13_cv5,resnet_h256_b2_lr1e-03_do0.1,0.0,128756.0,32189.0,256,2,0.001,0.1,512,9.0,0.5479754196165207,0.7983137076105389,fold,False,,,,
resnet_regressor,processed_2026-03-13_cv5,resnet_h256_b2_lr1e-03_do0.1,1.0,128756.0,32189.0,256,2,0.001,0.1,512,5.0,0.5542869908751866,0.7932135444974783,fold,False,,,,
resnet_regressor,processed_2026-03-13_cv5,resnet_h256_b2_lr1e-03_do0.1,2.0,128756.0,32189.0,256,2,0.001,0.1,512,8.0,0.5406671612853726,0.7905403893251709,fold,False,,,,
resnet_regressor,processed_2026-03-13_cv5,resnet_h256_b2_lr1e-03_do0.1,3.0,128756.0,32189.0,256,2,0.001,0.1,512,8.0,0.5490464089339795,0.7895635514376966,fold,False,,,,
resnet_regressor,processed_2026-03-13_cv5,resnet_h256_b2_lr1e-03_do0.1,4.0,128756.0,32189.0,256,2,0.001,0.1,512,5.0,0.5488685752277571,0.7909895162474414,fold,False,,,,
resnet_regressor,processed_2026-03-13_cv5,resnet_h256_b2_lr1e-03_do0.3,0.0,128756.0,32189.0,256,2,0.001,0.3,512,8.0,0.5485244528433579,0.7936353320988028,fold,False,,,,
resnet_regressor,processed_2026-03-13_cv5,resnet_h256_b2_lr1e-03_do0.3,1.0,128756.0,32189.0,256,2,0.001,0.3,512,4.0,0.5622560596172363,0.7903903860067091,fold,False,,,,
resnet_regressor,processed_2026-03-13_cv5,resnet_h256_b2_lr1e-03_do0.3,2.0,128756.0,32189.0,256,2,0.001,0.3,512,9.0,0.5390234810526967,0.7941490339771701,fold,False,,,,
resnet_regressor,processed_2026-03-13_cv5,resnet_h256_b2_lr1e-03_do0.3,3.0,128756.0,32189.0,256,2,0.001,0.3,512,8.0,0.5445513683620277,0.788567627796454,fold,False,,,,
resnet_regressor,processed_2026-03-13_cv5,resnet_h256_b2_lr1e-03_do0.3,4.0,128756.0,32189.0,256,2,0.001,0.3,512,9.0,0.5426346877265183,0.791796131858312,fold,False,,,,
resnet_regressor,processed_2026-03-13_cv5,resnet_h256_b2_lr3e-04_do0.1,0.0,128756.0,32189.0,256,2,0.0003,0.1,512,8.0,0.5422621314891263,0.7978239771681477,fold,True,,,,
resnet_regressor,processed_2026-03-13_cv5,resnet_h256_b2_lr3e-04_do0.1,1.0,128756.0,32189.0,256,2,0.0003,0.1,512,6.0,0.5447529505172861,0.7920286412269091,fold,True,,,,
resnet_regressor,processed_2026-03-13_cv5,resnet_h256_b2_lr3e-04_do0.1,2.0,128756.0,32189.0,256,2,0.0003,0.1,512,8.0,0.5416274832174125,0.7896668763869412,fold,True,,,,
resnet_regressor,processed_2026-03-13_cv5,resnet_h256_b2_lr3e-04_do0.1,3.0,128756.0,32189.0,256,2,0.0003,0.1,512,6.0,0.549055165283403,0.7878292767589959,fold,True,,,,
resnet_regressor,processed_2026-03-13_cv5,resnet_h256_b2_lr3e-04_do0.1,4.0,128756.0,32189.0,256,2,0.0003,0.1,512,4.0,0.5505523484617671,0.7883560943541196,fold,True,,,,
resnet_regressor,processed_2026-03-13_cv5,resnet_h256_b2_lr3e-04_do0.3,0.0,128756.0,32189.0,256,2,0.0003,0.3,512,5.0,0.5485231239119481,0.7902592553037096,fold,False,,,,
resnet_regressor,processed_2026-03-13_cv5,resnet_h256_b2_lr3e-04_do0.3,1.0,128756.0,32189.0,256,2,0.0003,0.3,512,7.0,0.5497258357250472,0.7926529550448435,fold,False,,,,
resnet_regressor,processed_2026-03-13_cv5,resnet_h256_b2_lr3e-04_do0.3,2.0,128756.0,32189.0,256,2,0.0003,0.3,512,7.0,0.5431025363783493,0.7914089732877788,fold,False,,,,
resnet_regressor,processed_2026-03-13_cv5,resnet_h256_b2_lr3e-04_do0.3,3.0,128756.0,32189.0,256,2,0.0003,0.3,512,4.0,0.5574010740844252,0.790771827897223,fold,False,,,,
resnet_regressor,processed_2026-03-13_cv5,resnet_h256_b2_lr3e-04_do0.3,4.0,128756.0,32189.0,256,2,0.0003,0.3,512,6.0,0.551506144001472,0.7938327724025405,fold,False,,,,
resnet_regressor,processed_2026-03-13_cv5,resnet_h256_b4_lr1e-03_do0.1,0.0,128756.0,32189.0,256,4,0.001,0.1,512,10.0,0.5340995170900429,0.8050663726135817,fold,False,,,,
resnet_regressor,processed_2026-03-13_cv5,resnet_h256_b4_lr1e-03_do0.1,1.0,128756.0,32189.0,256,4,0.001,0.1,512,7.0,0.5489527514591227,0.7956433161113146,fold,False,,,,
resnet_regressor,processed_2026-03-13_cv5,resnet_h256_b4_lr1e-03_do0.1,2.0,128756.0,32189.0,256,4,0.001,0.1,512,7.0,0.5435585715579708,0.7928948647982444,fold,False,,,,
resnet_regressor,processed_2026-03-13_cv5,resnet_h256_b4_lr1e-03_do0.1,3.0,128756.0,32189.0,256,4,0.001,0.1,512,5.0,0.5416475486530904,0.7857052261680076,fold,False,,,,
resnet_regressor,processed_2026-03-13_cv5,resnet_h256_b4_lr1e-03_do0.1,4.0,128756.0,32189.0,256,4,0.001,0.1,512,12.0,0.5345901228772456,0.8013782445726251,fold,False,,,,
resnet_regressor,processed_2026-03-13_cv5,resnet_h256_b4_lr1e-03_do0.3,0.0,128756.0,32189.0,256,4,0.001,0.3,512,8.0,0.5415025798212096,0.8029772249693826,fold,False,,,,
resnet_regressor,processed_2026-03-13_cv5,resnet_h256_b4_lr1e-03_do0.3,1.0,128756.0,32189.0,256,4,0.001,0.3,512,7.0,0.5510699030165114,0.7895197233965463,fold,False,,,,
resnet_regressor,processed_2026-03-13_cv5,resnet_h256_b4_lr1e-03_do0.3,2.0,128756.0,32189.0,256,4,0.001,0.3,512,7.0,0.5422885917535367,0.7974554551600123,fold,False,,,,
resnet_regressor,processed_2026-03-13_cv5,resnet_h256_b4_lr1e-03_do0.3,3.0,128756.0,32189.0,256,4,0.001,0.3,512,7.0,0.5447780816777322,0.7888536009459958,fold,False,,,,
resnet_regressor,processed_2026-03-13_cv5,resnet_h256_b4_lr1e-03_do0.3,4.0,128756.0,32189.0,256,4,0.001,0.3,512,6.0,0.549822524085509,0.7947153977072922,fold,False,,,,
resnet_regressor,processed_2026-03-13_cv5,resnet_h256_b4_lr3e-04_do0.1,0.0,128756.0,32189.0,256,4,0.0003,0.1,512,8.0,0.5410086687605402,0.7973279504021087,fold,False,,,,
resnet_regressor,processed_2026-03-13_cv5,resnet_h256_b4_lr3e-04_do0.1,1.0,128756.0,32189.0,256,4,0.0003,0.1,512,7.0,0.5442140459517687,0.7973537783278188,fold,False,,,,
resnet_regressor,processed_2026-03-13_cv5,resnet_h256_b4_lr3e-04_do0.1,2.0,128756.0,32189.0,256,4,0.0003,0.1,512,3.0,0.5601433337551132,0.7935064999772398,fold,False,,,,
resnet_regressor,processed_2026-03-13_cv5,resnet_h256_b4_lr3e-04_do0.1,3.0,128756.0,32189.0,256,4,0.0003,0.1,512,4.0,0.5515423845237669,0.792198450179923,fold,False,,,,
resnet_regressor,processed_2026-03-13_cv5,resnet_h256_b4_lr3e-04_do0.1,4.0,128756.0,32189.0,256,4,0.0003,0.1,512,9.0,0.5391225534343413,0.7951629892638457,fold,False,,,,
resnet_regressor,processed_2026-03-13_cv5,resnet_h256_b4_lr3e-04_do0.3,0.0,128756.0,32189.0,256,4,0.0003,0.3,512,6.0,0.5604321302791193,0.8006338457769842,fold,False,,,,
resnet_regressor,processed_2026-03-13_cv5,resnet_h256_b4_lr3e-04_do0.3,1.0,128756.0,32189.0,256,4,0.0003,0.3,512,8.0,0.5488756386604303,0.7998329290672076,fold,False,,,,
resnet_regressor,processed_2026-03-13_cv5,resnet_h256_b4_lr3e-04_do0.3,2.0,128756.0,32189.0,256,4,0.0003,0.3,512,8.0,0.5471564262743099,0.7923565064138147,fold,False,,,,
resnet_regressor,processed_2026-03-13_cv5,resnet_h256_b4_lr3e-04_do0.3,3.0,128756.0,32189.0,256,4,0.0003,0.3,512,11.0,0.5401823588294485,0.7947274581801114,fold,False,,,,
resnet_regressor,processed_2026-03-13_cv5,resnet_h256_b4_lr3e-04_do0.3,4.0,128756.0,32189.0,256,4,0.0003,0.3,512,6.0,0.5472922711696477,0.7955495595107883,fold,False,,,,
resnet_regressor,processed_2026-03-13_cv5,resnet_h256_b2_lr3e-04_do0.1,,,,256,2,0.0003,0.1,512,,,,summary,True,0.545650015793799,0.0040028478341751356,0.7911409731790228,0.004072663179116855
resnet_regressor,processed_2026-03-13_cv5,resnet_h256_b2_lr1e-03_do0.3,,,,256,2,0.001,0.3,512,,,,summary,False,0.5473980099203674,0.008985486279174223,0.7917077023474896,0.002306461949087797
resnet_regressor,processed_2026-03-13_cv5,resnet_h256_b2_lr3e-04_do0.3,,,,256,2,0.0003,0.3,512,,,,summary,False,0.5500517428202484,0.005168711498047618,0.7917851567872191,0.001452801459764184
resnet_regressor,processed_2026-03-13_cv5,resnet_h256_b2_lr1e-03_do0.1,,,,256,2,0.001,0.1,512,,,,summary,False,0.5481689111877633,0.0048735028909219266,0.7925241418236653,0.00350177787399385
resnet_regressor,processed_2026-03-13_cv5,resnet_h256_b4_lr1e-03_do0.3,,,,256,4,0.001,0.3,512,,,,summary,False,0.5458923360708998,0.00435178334696769,0.7947042804358458,0.00585492910713477
resnet_regressor,processed_2026-03-13_cv5,resnet_h256_b4_lr3e-04_do0.1,,,,256,4,0.0003,0.1,512,,,,summary,False,0.547206197285106,0.008644068011253725,0.7951099336301872,0.0022915599320356118
resnet_regressor,processed_2026-03-13_cv5,resnet_h256_b4_lr1e-03_do0.1,,,,256,4,0.001,0.1,512,,,,summary,False,0.5405697023274945,0.0062846891754993915,0.7961376048527546,0.007529631595291895
resnet_regressor,processed_2026-03-13_cv5,resnet_h256_b4_lr3e-04_do0.3,,,,256,4,0.0003,0.3,512,,,,summary,False,0.5487877650425912,0.0073237583884314264,0.7966200597897812,0.003512079371072877
